,hhd-0,hhd-1,hhd-2,hhd-3,hhd-4,hhd-5,hhd-6,hhd-7,hhd-8,hhd-91,hhd-92,hhd-93,hhd-94,hhd-95,gov
cmeda,38.4634346831836,74.8830276357472,85.9612711447939,136.670102780663,264.600640507547,335.985281857051,567.946734330999,936.957554971203,1963.89165713401,602.808474277039,269.530720502594,384.619557041095,1028.99955742781,2606.11103889111,0.0
cmtvp,12.0795305924895,60.6698979426821,230.411026416064,394.042785257604,535.736439023089,1811.05311538588,3842.12079166045,8081.76589186277,22737.8566598421,9227.72523373087,10777.7046106754,13460.5571634658,12547.7805697014,22843.9833220557,0.0
cship,1.58920520408326,2.86620231788158,3.41514281561353,2.52566577128084,3.14477139612535,10.6726135655832,12.0862418206875,16.616192209944,102.381123426484,13.1696591244378,46.9082452540817,5.96136948523324,9.33296517789491,446.288027459872,0.0
crail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cairc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coteq,3.81539733278936,6.88123890532333,8.19914681647613,6.0636715903665,7.55003341681751,25.6230354817566,29.0169039766638,39.8925043009198,245.798757923599,31.6179950632054,112.618303393673,14.3121814447186,22.406779411031,1071.45769800601,0.0
ccnst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccsrv,27.2391028473606,48.446049080478,62.4187662698048,71.4036066215202,113.248035055796,137.076565215835,267.192064678415,367.062145474102,811.222282912093,317.482737620789,268.332700456036,141.011703854678,400.084432749071,488.443713592339,0.0
ctrad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cacco,86.2892923283051,129.207826288331,218.454122865069,159.665820154238,470.65589451198,483.701309225795,744.354793168167,1540.17642745276,4414.63638167565,2373.66060992718,1404.93479517354,2434.22161661985,3784.52871609794,6666.60931285953,0.0
ccats,737.854961932531,1386.13027509286,1888.72810260381,2400.60588913183,2700.46078251056,3477.17730667431,4226.92530224658,6334.98697050769,8197.09595334392,2270.99567226264,2759.11015520021,2953.91439147034,4487.02592811407,6312.20445091908,0.0
cptrp,5484.65044324586,7349.48769014412,9527.42502856038,11109.3063573198,11966.6121025003,15727.8654278026,15502.8196614116,15228.1047750461,12444.1987812912,3393.65726964804,1689.18068674294,2181.25271242207,3413.35798768026,4187.07396129752,0.0
cftrp,1102.9427480927,1046.46546105301,876.845078009701,4753.1554192622,1977.29699952896,8277.50875728428,9663.89432628077,2562.57403677192,1720.054802704,238.346573579832,400.551854443116,307.934672012506,18.6649385386472,1215.43176590606,0.0
ctrps,154.582056300061,146.942953159636,250.927823032957,382.526028957746,401.351698628451,607.29018275928,929.023075680079,1501.2588892424,2402.0728117576,748.408919696998,667.030740554459,890.477352525845,1325.92770952039,1728.98566144555,0.0
cpost,19.2865161593979,35.3720923226766,51.0517099659766,55.3120791364005,71.7713568713788,82.2472990291859,120.999918616294,207.695810507222,224.996791038741,45.0559426287362,57.0119884096924,78.5782768640751,174.256650354136,130.212231238931,0.0
celcd,2401.19292611885,2979.57277781002,3488.82846519196,4163.71600302725,4981.36478852257,5918.17525562656,6867.87453900849,10173.2236450312,14448.4002738103,3593.20873364887,3642.04947817819,3899.42531501263,4759.15600848235,5615.24953264319,0.0
cwatd,208.479858824262,528.448570228741,519.117745628422,838.350703015353,1278.47996535572,1453.19967059369,1745.59935286414,3305.61704566167,5300.70032683776,1608.95708745828,1277.1889235404,1545.6242270409,1648.98066813002,1958.13043905945,0.0
cfins,295.520891161819,637.006810077869,1223.58370788097,1488.30393559333,2359.90244908087,3412.47650898156,4661.30157755276,6601.18521363179,13689.8182961832,3729.37070297359,4340.85231746696,4693.82629653549,4486.89804205954,10228.6078264288,0.0
cinsp,557.924633484458,857.727688704627,987.680928984519,1138.81060274997,1561.06105647909,2336.2194365891,4385.74770766142,9706.43306284773,27263.6097920714,9252.49729701149,10093.9766769485,12120.8771503616,13431.769806593,20256.1585308908,0.0
cofin,1.06832515912454,1.64239399826827,1.89123104142534,2.18061713962567,2.98915068716466,4.47343933490872,8.3979167372577,18.5860706340141,52.2049010231335,17.716865422119,19.3281468363429,23.2092960827294,25.7194193529949,38.7868942989927,0.0
creal,2789.56602973303,4260.40208809566,5691.52039419409,7504.94297194286,9460.39799656812,12774.7648252792,16814.2408534153,31072.6868923961,56681.6148460897,18524.0027697695,16422.476027562,19278.2894635293,29329.8663854237,39330.1224671981,0.0
crent,201.080546163908,266.870875402799,570.275267086007,172.556127733952,642.924139396664,604.875175229346,589.188721782225,1298.33473863018,2600.36519443109,205.210870222299,505.294986979786,267.558588087038,590.57558525055,445.06960880146,0.0
crsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clacc,6.44060042042156,18.7646628970431,30.0641059530059,46.9412267722033,160.105761694788,258.8170122718,403.271305206617,776.51564497521,2305.88503264385,518.912692768367,568.100988492501,2052.64133522678,1211.59788390767,2854.02979791261,0.0
cobus,5.11651006094188,14.9069310678677,23.8833789616945,37.2908181497173,127.190430558108,205.608136010541,320.364803852211,616.875733727693,1831.82982932596,412.23206533375,451.307988931668,1630.64921864934,962.511622856387,2267.28429370441,0.0
ctelc,1315.33889860984,1896.11899275881,2336.44132777016,2837.72480074659,3402.43516431418,4442.96269075574,5785.15124992436,8203.05698877699,13094.9610377291,3009.98239462486,3571.67517130274,4061.09126436321,4619.99666852599,6155.25597545009,0.0
csupp,373.052724988784,747.716638932049,1096.88170611155,1633.97818962556,1795.38629214354,2292.63996772011,4295.62145271408,6436.1615494968,11937.082035232,3765.35300626401,4162.50630088601,4889.73714359146,7388.82611002159,14540.1131941532,0.0
cmnfs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpuba,110.504619546901,222.90863763381,347.930801385752,517.844851171347,931.312049554693,1079.70817645379,1740.64772314625,2971.46271535343,6412.73320833419,1678.24789447762,1963.83959481343,2663.38133423346,3037.69370714328,4702.84810494846,828934.0
ceduc,256.450524316457,620.05938112779,835.327514508848,1201.65230564297,1534.97991188549,2872.0860088614,3555.59862782699,6138.81335720606,13854.8867802922,3740.11957946657,3610.67444935917,4429.42203537204,3341.8093787273,4566.70267992043,0.0
cheal,2553.93665198429,4191.03041377202,5201.42792330103,5316.62700211276,6601.04853284197,7497.18331406292,8622.9889625969,12812.2503280341,26504.439996453,6505.93224102111,6113.996385841,8628.93952747306,8349.61268557277,16344.2892953079,0.0
cosrv,727.826540294934,1649.08579726884,2155.27460370457,2682.15853250861,2947.32833325029,4287.55803422314,7480.44453551285,12085.666928929,25844.4588558953,9390.22364656448,8446.57700893124,13804.6085833956,16399.1949365727,19850.0228767131,0.0
