,hhd-0,hhd-1,hhd-2,hhd-3,hhd-4,hhd-5,hhd-6,hhd-7,hhd-8,hhd-91,hhd-92,hhd-93,hhd-94,hhd-95
calcb,1424.4729214259994,2444.8906978012496,3417.6483526249913,4965.129020802083,6117.3768932417615,9201.760807887347,9416.950635162091,10714.500873718718,13049.743965623664,3823.2442679797955,2984.3278333584626,2717.8598456470336,5118.858394196825,5648.886056409084
csftd,949.051900240621,1239.6006599743978,1479.848846704825,1814.4737767894628,1914.3914877187208,2289.4718378684993,2416.48741800367,3030.4207346972307,3309.024550132313,797.0481674868304,662.2882854882275,858.5183908993891,967.4392328504391,909.5094426778433
ctoba,990.9961962071442,1542.1627786331617,2138.1658285374474,2957.598245741199,3703.816348410538,4485.001802515855,4351.006139471895,5960.169794971025,7446.921908326153,971.3521963073217,994.5757290761863,1456.4606663171865,1508.7932963870783,1697.4584816075383
ctexf,55.45720381225527,52.498729294412854,69.60891921967801,56.08380974292372,96.27752476772767,65.65983812698161,132.10419630610264,131.3334389187677,250.44618496834738,133.9239035968144,55.72325978322499,111.03472090244908,31.284866874134522,78.99616909688976
ctexm,337.5959559874576,447.25833306981605,649.9931439112731,666.4093832663447,813.2815260289157,928.3176815127998,1280.2631464116068,1588.7670922774337,2083.0967845384007,553.6993390325198,597.2201965909678,619.9987382216864,1025.325357228282,1563.2459474602188
ccarp,44.86426936552833,61.19504849815317,41.79495268253927,60.346041141845696,53.659735178527036,69.2976763127873,131.22198606220778,164.6823738662349,184.62180325870148,28.77813977482964,74.09342076413152,148.3397534864052,372.92770347383305,197.36660845560456
cotex,49.34060361707379,65.36807012952143,94.99833602489372,97.39761582826816,118.86339481617617,135.67625423790832,187.11407915973274,232.20280323151775,304.45048561461067,80.92472414347968,87.28542054336869,90.61456881556559,149.85420036078503,228.47281574811637
cknit,14.419395147781202,22.610717003613154,21.016381010663036,23.141353093184957,24.594864984950267,45.598009090339026,32.31139500151122,50.8116414710298,65.70445994054674,20.58963677523619,21.749551007136798,27.881468366014364,24.58266877807319,52.93111363185821
cwear,2780.668780128461,3702.4241829599073,4356.992691094352,4363.651512553442,4503.248426647923,5669.836131305338,6113.942557950183,7598.570053782318,9724.530257650871,2299.002882134058,1866.0968025752968,2323.169875105241,2629.567845650182,3143.221776722162
cleat,230.63446659953564,258.8289481292783,297.7854714770787,249.13397387015425,291.7300601146969,347.3925583858006,459.3220440925973,446.1658531266197,650.2200131314893,163.7802383362495,185.86478172309364,231.63643798323187,258.41837472489556,446.91370997367756
